"Rk","G","Date","Age","Tm","Opp","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Name"
"27","27","1984-12-18","21-305","CHI","HOU","1","45:00","8","20",".400","0","1",".000","2","4",".500","1","2","3","8","3","0","1","2","18","14.5","MJ"
"28","28","1984-12-20","21-307","CHI","ATL","1","41:00","12","22",".545","0","0","","10","16",".625","4","4","8","7","5","1","7","5","34","26.6","MJ"
"29","29","1984-12-22","21-309","CHI","BOS","1","35:00","12","18",".667","0","0","","8","8","1.000","1","11","12","8","0","3","3","3","32","31.7","MJ"
"30","30","1984-12-27","21-314","CHI","CLE","1","44:00","20","33",".606","0","1",".000","5","5","1.000","2","5","7","11","3","0","3","1","45","40.1","MJ"
"31","31","1984-12-29","21-316","CHI","ATL","1","39:00","7","18",".389","0","0","","7","9",".778","1","3","4","5","0","0","3","6","21","10.1","MJ"
"32","32","1985-01-02","21-320","CHI","ATL","1","34:00","10","14",".714","0","0","","5","6",".833","1","6","7","4","3","0","4","2","25","22.3","MJ"
"33","33","1985-01-04","21-322","CHI","MIL","1","38:00","9","16",".563","0","1",".000","4","5",".800","0","2","2","6","3","0","0","4","22","20.2","MJ"
"34","34","1985-01-05","21-323","CHI","NYK","1","42:00","16","25",".640","0","0","","10","11",".909","4","3","7","4","2","1","3","3","42","35.5","MJ"
"35","35","1985-01-09","21-327","CHI","BOS","1","42:00","12","24",".500","0","0","","12","13",".923","4","2","6","6","2","1","4","4","36","28.3","MJ"
"36","36","1985-01-11","21-329","CHI","NYK","1","30:00","8","14",".571","0","0","","7","7","1.000","2","4","6","5","2","0","5","3","23","18.3","MJ"
"37","37","1985-01-12","21-330","CHI","CLE","1","36:00","10","21",".476","0","1",".000","4","6",".667","4","8","12","3","1","0","3","5","24","15.8","MJ"
"38","38","1985-01-14","21-332","CHI","DEN","1","43:00","11","16",".688","0","0","","13","15",".867","2","12","14","15","3","1","6","3","35","39.4","MJ"
"39","39","1985-01-16","21-334","CHI","NJN","1","44:00","8","17",".471","0","1",".000","11","12",".917","1","6","7","7","2","0","6","3","27","20.1","MJ"
"40","40","1985-01-17","21-335","CHI","CLE","1","40:00","8","20",".400","0","0","","9","12",".750","0","4","4","6","2","2","3","4","25","17.2","MJ"
"41","41","1985-01-19","21-337","CHI","IND","1","41:00","15","27",".556","2","4",".500","6","8",".750","2","10","12","7","3","2","2","5","38","34.0","MJ"
"42","42","1985-01-22","21-340","CHI","POR","1","39:00","11","20",".550","0","1",".000","7","7","1.000","1","11","12","5","2","0","4","4","29","23.3","MJ"
"43","43","1985-01-25","21-343","CHI","SEA","1","37:00","6","15",".400","0","1",".000","10","10","1.000","2","2","4","8","4","2","1","3","22","24.7","MJ"
"44","44","1985-01-26","21-344","CHI","ATL","1","43:00","17","24",".708","0","0","","11","11","1.000","1","7","8","10","0","4","5","3","45","41.4","MJ"
"45","45","1985-01-29","21-347","CHI","KCK","1","38:00","11","17",".647","0","0","","4","6",".667","0","7","7","7","3","0","1","3","26","25.5","MJ"
"46","46","1985-01-30","21-348","CHI","WSB","1","41:00","12","19",".632","0","0","","14","15",".933","0","7","7","8","4","0","4","3","38","35.6","MJ"
"47","47","1985-02-01","21-350","CHI","PHI","1","37:00","9","16",".563","0","2",".000","13","14",".929","0","6","6","5","2","0","3","5","31","25.3","MJ"
"48","48","1985-02-05","21-354","CHI","BOS","1","45:00","14","25",".560","0","1",".000","13","14",".929","4","8","12","7","4","1","1","6","41","40.1","MJ"
"49","49","1985-02-07","21-356","CHI","CLE","1","38:00","8","17",".471","0","0","","7","8",".875","3","1","4","7","4","0","7","6","23","15.8","MJ"
"50","50","1985-02-12","21-361","CHI","DET","1","45:00","19","31",".613","0","0","","11","13",".846","7","8","15","5","4","0","6","5","49","40.9","MJ"
"51","51","1985-02-15","21-364","CHI","IND","1","37:00","8","20",".400","0","1",".000","1","2",".500","1","6","7","6","0","2","4","1","17","9.5","MJ"
"52","52","1985-02-17","22-000","CHI","MIL","1","34:00","9","15",".600","0","0","","8","8","1.000","2","1","3","3","2","1","5","1","26","20.2","MJ"
"53","53","1985-02-19","22-002","CHI","LAL","1","30:00","6","13",".462","0","2",".000","4","5",".800","4","2","6","8","0","0","3","5","16","12.9","MJ"
"54","54","1985-02-22","22-005","CHI","BOS","1","42:00","8","18",".444","0","0","","10","12",".833","1","3","4","7","3","0","3","3","26","21.1","MJ"
"55","55","1985-02-23","22-006","CHI","GSW","1","32:00","15","20",".750","0","0","","8","8","1.000","1","4","5","5","3","0","0","4","38","36.8","MJ"
"56","56","1985-02-26","22-009","CHI","CLE","1","48:00","12","27",".444","0","1",".000","4","4","1.000","3","6","9","5","0","0","1","4","28","18.7","MJ"
"57","57","1985-02-27","22-010","CHI","DET","1","35:00","8","17",".471","0","1",".000","8","9",".889","1","5","6","2","4","1","4","3","24","18.0","MJ"
"58","58","1985-03-01","22-012","CHI","NYK","1","38:00","6","15",".400","0","0","","9","12",".750","2","8","10","10","3","0","7","2","21","17.7","MJ"
"59","59","1985-03-03","22-014","CHI","NJN","1","41:00","13","21",".619","0","0","","11","12",".917","6","8","14","5","3","1","3","2","37","37.1","MJ"
"60","60","1985-03-05","22-016","CHI","WSB","1","44:00","12","23",".522","0","0","","13","17",".765","2","7","9","8","2","1","2","3","37","32.7","MJ"
"61","61","1985-03-06","22-017","CHI","BOS","1","42:00","13","28",".464","0","0","","7","7","1.000","2","5","7","3","5","2","5","2","33","24.2","MJ"
"62","62","1985-03-08","22-019","CHI","LAC","1","28:00","7","13",".538","1","2",".500","11","14",".786","2","6","8","7","0","1","1","3","26","25.1","MJ"
"63","63","1985-03-09","22-020","CHI","UTA","1","38:00","9","21",".429","1","1","1.000","9","16",".563","2","4","6","4","5","0","6","5","28","16.5","MJ"
"64","64","1985-03-11","22-022","CHI","WSB","1","34:00","6","14",".429","0","0","","9","10",".900","1","3","4","4","0","0","4","2","21","12.8","MJ"
"65","65","1985-03-12","22-023","CHI","DET","1","39:00","11","24",".458","0","1",".000","10","11",".909","3","5","8","4","1","0","5","2","32","20.8","MJ"
"66","66","1985-03-14","22-025","CHI","NYK","1","34:00","5","18",".278","0","0","","6","11",".545","1","2","3","8","1","0","1","3","16","9.1","MJ"
"67","67","1985-03-15","22-026","CHI","PHO","1","42:00","11","15",".733","0","0","","5","6",".833","1","8","9","14","2","2","6","3","27","29.6","MJ"
"68","68","1985-03-17","22-028","CHI","MIL","1","48:00","11","25",".440","0","3",".000","10","13",".769","6","5","11","16","1","1","3","5","32","31.3","MJ"
"69","69","1985-03-19","22-030","CHI","HOU","1","42:00","11","22",".500","0","0","","9","10",".900","2","2","4","7","2","1","7","3","31","21.0","MJ"
"70","70","1985-03-20","22-031","CHI","SAS","1","43:00","14","23",".609","0","1",".000","10","12",".833","3","4","7","4","3","0","2","5","38","31.8","MJ"
"71","71","1985-03-23","22-034","CHI","DAL","1","43:00","5","17",".294","0","0","","10","10","1.000","3","6","9","10","2","1","1","1","20","22.3","MJ"
"72","72","1985-03-24","22-035","CHI","UTA","1","35:00","9","24",".375","0","0","","8","11",".727","3","6","9","6","4","2","3","2","26","21.3","MJ"
